day,session,temperature,weather,treatment,identity,sex,cycle,territory,agonistic,recipient
1,1,15,cloudy,control,Captain_Hook,male,prenesting,3a,2a,Einband
1,1,15,cloudy,control,Captain_Hook,male,prenesting,3a,1b,Einband
1,1,15,cloudy,control,Captain_Hook,male,prenesting,3a,1b,Einband
1,1,15,cloudy,control,Captain_Hook,male,prenesting,3a,1b,Einband
1,1,15,cloudy,control,Captain_Hook,male,prenesting,3a,1b,Scruffy
1,1,15,cloudy,control,Captain_Hook,male,prenesting,3a,1b,Scruffy
1,1,15,cloudy,control,Captain_Hook,male,prenesting,3a,2b,Scruffy
1,1,15,cloudy,control,Captain_Hook,male,prenesting,2b,2b,Scruffy
1,1,15,cloudy,control,Captain_Hook,male,prenesting,2b,2b,Einband
1,1,15,cloudy,control,Captain_Hook,male,prenesting,2b,2b,Einband
1,1,15,cloudy,control,Captain_Hook,male,prenesting,NA,5b,Einband
1,1,15,cloudy,control,Captain_Hook,male,prenesting,NA,1c,Einband
1,1,15,cloudy,control,Captain_Hook,male,prenesting,NA,5e,Gelbbauch
1,1,15,cloudy,control,Scruffy,female,prenesting,1a,4a,Gelbbauch
1,1,15,cloudy,control,Scruffy,female,prenesting,2b,4c,Gelbbauch
1,1,15,cloudy,control,Scruffy,female,prenesting,3b,NA,NA
1,1,15,cloudy,control,Scruffy,female,prenesting,4b,NA,NA
1,1,15,cloudy,control,Scruffy,female,prenesting,4c,NA,NA
1,1,15,cloudy,control,Scruffy,female,prenesting,2d,NA,NA
1,1,15,cloudy,control,Scruffy,female,prenesting,4d,NA,NA
1,1,15,cloudy,control,Scruffy,female,prenesting,4d,NA,NA
1,1,15,cloudy,control,Scruffy,female,prenesting,5e,NA,NA
1,1,15,cloudy,control,Scruffy,female,prenesting,5e,NA,NA
1,1,15,cloudy,control,Droopy,female,prenesting,1a,3a,Scruffy
1,1,15,cloudy,control,Droopy,female,prenesting,2a,1b,Einband
1,1,15,cloudy,control,Droopy,female,prenesting,1b,1b,Einband
1,1,15,cloudy,control,Droopy,female,prenesting,1b,1b,Scruffy
1,1,15,cloudy,control,Droopy,female,prenesting,1b,2b,Scruffy
1,1,15,cloudy,control,Droopy,female,prenesting,1b,NA,NA
1,1,15,cloudy,control,Droopy,female,prenesting,2b,NA,NA
1,1,15,cloudy,control,Droopy,female,prenesting,2b,NA,NA
1,1,15,cloudy,control,Droopy,female,prenesting,2b,NA,NA
1,1,15,cloudy,control,Droopy,female,prenesting,3b,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,2a,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,2a,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,2b,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,4b,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,5b,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,2c,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,1d,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,3d,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,4e,NA,NA
1,1,15,cloudy,control,Gelbwange,male,prenesting,5e,NA,NA
1,1,15,cloudy,control,Gelbbauch,female,prenesting,1a,5b,Captain_Hook
1,1,15,cloudy,control,Gelbbauch,female,prenesting,1a,1d,Captain_Hook
1,1,15,cloudy,control,Gelbbauch,female,prenesting,2a,2d,Captain_Hook
1,1,15,cloudy,control,Gelbbauch,female,prenesting,2b,2d,Captain_Hook
1,1,15,cloudy,control,Gelbbauch,female,prenesting,4c,4d,Captain_Hook
1,1,15,cloudy,control,Gelbbauch,female,prenesting,1d,4d,Captain_Hook
1,1,15,cloudy,control,Gelbbauch,female,prenesting,1d,4d,Captain_Hook
1,1,15,cloudy,control,Gelbbauch,female,prenesting,2d,4d,Captain_Hook
1,1,15,cloudy,control,Gelbbauch,female,prenesting,4d,NA,NA
1,1,15,cloudy,control,Gelbbauch,female,prenesting,5e,NA,NA
1,1,15,cloudy,control,Einband,male,prenesting,2a,2a,Captain_Hook
1,1,15,cloudy,control,Einband,male,prenesting,2a,2a,Captain_Hook
1,1,15,cloudy,control,Einband,male,prenesting,2a,NA,NA
1,1,15,cloudy,control,Einband,male,prenesting,2a,NA,NA
1,1,15,cloudy,control,Einband,male,prenesting,4b,NA,NA
1,1,15,cloudy,control,Einband,male,prenesting,4b,NA,NA
1,1,15,cloudy,control,Einband,male,prenesting,5b,NA,NA
1,1,15,cloudy,control,Einband,male,prenesting,4c,NA,NA
1,1,15,cloudy,control,Einband,male,prenesting,5c,NA,NA
1,1,15,cloudy,control,Einband,male,prenesting,5e,NA,NA
1,2,,rainy,control,Captain_Hook,male,prenesting,1b,3b,Gelbwange
1,2,,rainy,control,Captain_Hook,male,prenesting,1b,2c,Gelbwange
1,2,,rainy,control,Captain_Hook,male,prenesting,2b,4c,Gelbbauch
1,2,,rainy,control,Captain_Hook,male,prenesting,2b,NA,NA
1,2,,rainy,control,Captain_Hook,male,prenesting,3c,NA,NA
1,2,,rainy,control,Captain_Hook,male,prenesting,3c,NA,NA
1,2,,rainy,control,Captain_Hook,male,prenesting,3c,NA,NA
1,2,,rainy,control,Captain_Hook,male,prenesting,4c,NA,NA
1,2,,rainy,control,Captain_Hook,male,prenesting,3d,NA,NA
1,2,,rainy,control,Captain_Hook,male,prenesting,3d,NA,NA
1,2,,rainy,control,Scruffy,female,prenesting,2a,NA,NA
1,2,,rainy,control,Scruffy,female,prenesting,2a,NA,NA
1,2,,rainy,control,Scruffy,female,prenesting,2a,NA,NA
1,2,,rainy,control,Scruffy,female,prenesting,3a,NA,NA
1,2,,rainy,control,Scruffy,female,prenesting,3b,NA,NA
1,2,,rainy,control,Scruffy,female,prenesting,3b,NA,NA
1,2,,rainy,control,Scruffy,female,prenesting,3c,NA,NA
1,2,,rainy,control,Scruffy,female,prenesting,3c,NA,NA
1,2,,rainy,control,Scruffy,female,prenesting,3d,NA,NA
